description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Torta Delicia de Moka 10 Porciones,S/ 19.88,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta Delicia de Moka,19.88
Torta Helada de Fresa 20 Porciones,S/ 41.18,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta Helada de Fresa,41.18
Torta de Chocolate 16 Porciones,S/ 36.68,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta de Chocolate,36.68
Torta Tres Leches 16 Porciones,S/ 47.18,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta Tres Leches,47.18
Torta de Chocolate con Manjar 10 Porciones,S/ 19.88,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta de Chocolate con Manjar,19.88
Torta Selva Negra 20 Porciones,S/ 53.18,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta Selva Negra,53.18
Torta Torbellino de Chocolate 10 Porciones,S/ 26.50,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta Torbellino de Chocolate,26.5
Torta Tentación de Lúcuma 16 Porciones,S/ 41.18,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta Tentación de Lúcuma,41.18
Torta Alemana con Cerezas 20 Porciones,S/ 55.43,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta Alemana con Cerezas,55.43
Torta Helada de Fresa 10 Porciones,S/ 25.40,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta Helada de Fresa,25.4
Torta Tres Leches Fresa y Coco 16 Porciones,S/ 57.52,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta Tres Leches Fresa y Coco,57.52
Torta Tentación de Moka 20 Porciones,S/ 47.92,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta Tentación de Moka,47.92
Torta de Chocolate 20 Porciones,S/ 44.93,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta de Chocolate,44.93
Torta Rectangular Chocolate 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,7.0,un,Torta Rectangular Chocolate,15.92
Torta Tres Leches de Chocolate 16 Porciones,S/ 53.93,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta Tres Leches de Chocolate,53.93
Torta Selva Negra Cuisine & Co 16 Porciones,S/ 45.68,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta Selva Negra Cuisine & Co,45.68
Torta Rectangular Vainilla y Fresa 7 Porciones,S/ 11.92,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,7.0,un,Torta Rectangular Vainilla y Fresa,11.92
Torta Festival Fresa 10 Porciones,S/ 21.20,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta Festival Fresa,21.2
Torta de Chantilly 20 Porciones,S/ 73.90,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta de Chantilly,73.9
Torta Rectangular Tres Leches 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,7.0,un,Torta Rectangular Tres Leches,15.92
Torta Alemana con Cerezas 16 Porciones,S/ 44.93,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta Alemana con Cerezas,44.93
Torta Chocococo 16 Porciones,S/ 49.40,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,16.0,un,Torta Chocococo,49.4
Torta de Chocolate 10 Porciones,S/ 27.68,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta de Chocolate,27.68
Torta Tres Leches 10 Porciones,S/ 36.68,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta Tres Leches,36.68
Torta Festival Caramel 10 Porciones,S/ 21.20,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,10.0,un,Torta Festival Caramel,21.2
Torta Helada de Duraznos 20 Porciones,S/ 54.90,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta Helada de Duraznos,54.9
Torta de Chocolate con Manjar 20 Porciones,S/ 44.93,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,20.0,un,Torta de Chocolate con Manjar,44.93
Torta Rectangular Selva Negra 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-04 20:51:11.610801,7.0,un,Torta Rectangular Selva Negra,15.92
