brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Colombina,Galleta COLOMBINA Arbolito Navidad Paquete 200gr,S/ 8.80 12%,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,200.0,g,Galleta COLOMBINA Arbolito Navidad Paquete r,8.8
San Jorge,Galletas Navideñas COLOMBINA Navidad Bolsa 150g,S/ 4.20 7%,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,150.0,g,Galletas Navideñas COLOMBINA Navidad Bolsa,4.2
Colombina,Galleta COLOMBINA MOMENTS Sabor a Chocolate Paquete 135gr,S/ 4.90 6%,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,135.0,g,Galleta COLOMBINA MOMENTS Sabor a Chocolate Paquete r,4.9
Timonel,Durazno en Mitades TIMONEL Lata 820g,S/ 8.30 2%,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,820.0,g,Durazno en Mitades TIMONEL Lata,8.3
Vega,Durazno en Mitades VEGA Lata 820g,S/ 7.20,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,820.0,g,Durazno en Mitades VEGA Lata,7.2
San Jorge,Galletas SAN JORGE Coconut Paquete 55g x 2u,S/ 2.00,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,55.0,g,Galletas SAN JORGE Coconut Paquete  x 2u,2.0
Victoria,Galletas GLACITAS Toffee Caja 8 Sixpack 192g,S/ 38.40,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,192.0,g,Galletas GLACITAS Toffee Caja 8 Sixpack,38.4
Gn,Galleta GN Rellenitas Sabor a Coco Paquete 8 un,S/ 4.60,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,8.0,un,Galleta GN Rellenitas Sabor a Coco Paquete,4.6
Colombina,Galleta COLOMBINA Feliz Navidad Surtido Bolsa 220gr,S/ 6.50,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,220.0,g,Galleta COLOMBINA Feliz Navidad Surtido Bolsa r,6.5
Nestle,Galletas MOROCHAS Pack 6u Paquete 30g,S/ 6.20,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,30.0,g,Galletas MOROCHAS Pack 6u Paquete,6.2
Gn,Galleta GN Rellenitas Sabor a Chocolate Paquete 8 un,S/ 4.60,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,8.0,un,Galleta GN Rellenitas Sabor a Chocolate Paquete,4.6
VIZZIO,Chocolate VIZZIO Paquete 69g,S/ 5.20,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,69.0,g,Chocolate VIZZIO Paquete,5.2
San Jorge,Galletas SAN JORGE Vainilla Gourmet Paquete 250g,S/ 3.80,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,250.0,g,Galletas SAN JORGE Vainilla Gourmet Paquete,3.8
Vega,Cocktail de Frutas VEGA Lata 820g,S/ 10.40,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,820.0,g,Cocktail de Frutas VEGA Lata,10.4
Timonel,Cocktail de Frutas TIMONEL Lata 820g,S/ 10.80,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,820.0,g,Cocktail de Frutas TIMONEL Lata,10.8
Sayon,Galletas SAYON Margarita Paquete 6u 43g.,S/ 5.20,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,43.0,g,Galletas SAYON Margarita Paquete 6u .,5.2
San Jorge,Galleta SAN JORGE Vainilla Familiar Paquete 120gr,S/ 1.70,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,120.0,g,Galleta SAN JORGE Vainilla Familiar Paquete r,1.7
Ambrosoli,Gomas AMBROSOLI Frugele Bolsa 100 un,S/ 9.50,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,100.0,un,Gomas AMBROSOLI Frugele Bolsa,9.5
Field,Galleta Vainilla FIELD Familiar Paquete 147gr,S/ 2.50,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,147.0,g,Galleta Vainilla FIELD Familiar Paquete r,2.5
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,PASTELES DULCES,2024-12-07 15:20:28.855321,70.0,un,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa,9.0
